created_at,entry_id,field3
2020-10-08 19:42:16 UTC,373505,
2020-10-08 19:42:45 UTC,373506,
2020-10-08 19:43:14 UTC,373507,
2020-10-08 19:43:44 UTC,373508,
2020-10-08 19:44:13 UTC,373509,
2020-10-08 19:44:47 UTC,373510,
2020-10-08 19:45:17 UTC,373511,
2020-10-08 19:45:46 UTC,373512,
2020-10-08 19:46:15 UTC,373513,
2020-10-08 19:46:45 UTC,373514,
2020-10-08 19:47:14 UTC,373515,
2020-10-08 19:47:43 UTC,373516,
2020-10-08 19:48:13 UTC,373517,
2020-10-08 19:48:42 UTC,373518,
2020-10-08 19:49:12 UTC,373519,
2020-10-08 19:49:41 UTC,373520,
2020-10-08 19:50:11 UTC,373521,
2020-10-08 19:50:40 UTC,373522,
2020-10-08 19:51:11 UTC,373523,
2020-10-08 19:51:41 UTC,373524,
2020-10-08 19:52:12 UTC,373525,
2020-10-08 19:52:42 UTC,373526,
2020-10-08 19:53:11 UTC,373527,
2020-10-08 19:53:40 UTC,373528,
2020-10-08 19:54:10 UTC,373529,
2020-10-08 19:54:39 UTC,373530,
2020-10-08 19:55:08 UTC,373531,
2020-10-08 19:55:38 UTC,373532,
2020-10-08 19:56:07 UTC,373533,
2020-10-08 19:56:37 UTC,373534,
2020-10-08 19:57:06 UTC,373535,
2020-10-08 19:57:35 UTC,373536,
2020-10-08 19:58:05 UTC,373537,
2020-10-08 19:58:34 UTC,373538,
2020-10-08 19:59:03 UTC,373539,
2020-10-08 19:59:33 UTC,373540,
2020-10-08 20:00:02 UTC,373541,
2020-10-08 20:00:31 UTC,373542,
2020-10-08 20:01:01 UTC,373543,
2020-10-08 20:01:31 UTC,373544,
2020-10-08 20:02:00 UTC,373545,
2020-10-08 20:02:29 UTC,373546,
2020-10-08 20:02:59 UTC,373547,
2020-10-08 20:03:28 UTC,373548,
2020-10-08 20:03:58 UTC,373549,
2020-10-08 20:04:27 UTC,373550,
2020-10-08 20:04:56 UTC,373551,
2020-10-08 20:05:26 UTC,373552,
2020-10-08 20:05:57 UTC,373553,
2020-10-08 20:06:32 UTC,373554,
2020-10-08 20:07:11 UTC,373555,
2020-10-08 20:07:46 UTC,373556,
2020-10-08 20:08:20 UTC,373557,
2020-10-08 20:08:55 UTC,373558,
2020-10-08 20:09:24 UTC,373559,
2020-10-08 20:09:55 UTC,373560,
2020-10-08 20:10:24 UTC,373561,
2020-10-08 20:10:53 UTC,373562,
2020-10-08 20:11:25 UTC,373563,
2020-10-08 20:11:55 UTC,373564,
2020-10-08 20:12:30 UTC,373565,
2020-10-08 20:12:59 UTC,373566,
2020-10-08 20:13:29 UTC,373567,
2020-10-08 20:13:59 UTC,373568,
2020-10-08 20:14:28 UTC,373569,
2020-10-08 20:14:58 UTC,373570,
2020-10-08 20:15:28 UTC,373571,
2020-10-08 20:15:57 UTC,373572,
2020-10-08 20:16:28 UTC,373573,
2020-10-08 20:16:58 UTC,373574,
2020-10-08 20:17:28 UTC,373575,
2020-10-08 20:17:58 UTC,373576,
2020-10-08 20:18:27 UTC,373577,
2020-10-08 20:18:57 UTC,373578,
2020-10-08 20:19:26 UTC,373579,
2020-10-08 20:19:56 UTC,373580,
2020-10-08 20:20:25 UTC,373581,
2020-10-08 20:20:56 UTC,373582,
2020-10-08 20:21:30 UTC,373583,
2020-10-08 20:21:59 UTC,373584,
2020-10-08 20:22:29 UTC,373585,
2020-10-08 20:23:42 UTC,373586,
2020-10-08 20:24:12 UTC,373587,
2020-10-08 20:24:46 UTC,373588,
2020-10-08 20:25:15 UTC,373589,
2020-10-08 20:25:44 UTC,373590,
2020-10-08 20:26:14 UTC,373591,
2020-10-08 20:26:43 UTC,373592,
2020-10-08 20:27:13 UTC,373593,
2020-10-08 20:27:42 UTC,373594,
2020-10-08 20:28:12 UTC,373595,
2020-10-08 20:28:46 UTC,373596,
2020-10-08 20:29:16 UTC,373597,
2020-10-08 20:29:45 UTC,373598,
2020-10-08 20:30:14 UTC,373599,
2020-10-08 20:30:49 UTC,373600,
2020-10-08 20:31:19 UTC,373601,
2020-10-08 20:31:51 UTC,373602,
2020-10-08 20:32:21 UTC,373603,
2020-10-08 20:32:51 UTC,373604,
